xflr5 v6.57

Wing (Simple Winglets)
T1-10.0 m/s-Panel-Inviscid
QInf  =,   10.000000 ,m/s
Alpha = ,  10.000000
Beta  = ,   0.000°
Phi   = ,   0.000°
Ctrl  = ,   0.000
CL    = ,   1.221274
Cy    = ,   0.000000
Cd=,   0.044930,ICd=,    0.044930,PCd=,    0.000000
Cl   = ,5.49082e-14
Cm   =,    0.115581
ICn=,   -0.000000,PCn=,   -0.000000
XCP=,    1.076989, YCP=,   -0.000000, ZCP=,    0.543992 
XNP=,    0.000000
Bending =, 8396.298635

Main Wing
  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
  -11.4981,   0.5012, -6.076, 0.216927, 0.000000, 0.023005, 0.327480, 0.173892, 0.0000, 0.0000, 4.0158, 0.0000
  -11.4904,   0.5059, -5.965, 0.369818, 0.000000, 0.038476,-0.098097, 0.138734, 0.0000, 0.0000,-1.1109, 0.0002
  -11.4752,   0.5154, -5.645, 0.521930, 0.000000, 0.051280,-0.547961, 0.109474, 0.0000, 0.0000,-0.1657, 0.0026
  -11.4526,   0.5294, -5.176, 0.657879, 0.000000, 0.059057,-0.826143, 0.084233, 0.0000, 0.0000, 0.0642, 0.0135
  -11.4228,   0.5479, -4.647, 0.773350, 0.000000, 0.062034,-0.989724, 0.062638, 0.0000, 0.0000, 0.1614, 0.0449
  -11.3863,   0.5707, -4.115, 0.867275, 0.000000, 0.061225,-1.062633, 0.044132, 0.0000, 0.0000, 0.2131, 0.1159
  -11.3433,   0.5974, -3.615, 0.940578, 0.000000, 0.057885,-1.067434, 0.028321, 0.0000, 0.0000, 0.2451, 0.2527
  -11.2943,   0.6278, -3.162, 0.995352, 0.000000, 0.053082,-1.023555, 0.014984, 0.0000, 0.0000, 0.2666, 0.4881
  -11.2399,   0.6616, -2.764, 1.034268, 0.000000, 0.047654,-0.947231, 0.003880, 0.0000, 0.0000, 0.2819, 0.8599
  -11.1807,   0.6984, -2.422, 1.060130, 0.000000, 0.042183,-0.851636,-0.005283, 0.0000, 0.0000, 0.2933, 1.4094
  -11.1174,   0.7378, -2.134, 1.075592, 0.000000, 0.037058,-0.746901,-0.012832, 0.0000, 0.0000, 0.3020, 2.1786
  -11.0505,   0.7793, -1.895, 1.082970, 0.000000, 0.032441,-0.640297,-0.019102, 0.0000, 0.0000, 0.3088, 3.2071
  -10.9809,   0.8226, -1.700, 1.084202, 0.000000, 0.028416,-0.536756,-0.024406, 0.0000, 0.0000, 0.3144, 4.5299
  -10.9094,   0.8670, -1.544, 1.080823, 0.000000, 0.024955,-0.439357,-0.029019, 0.0000, 0.0000, 0.3192, 6.1737
  -10.8366,   0.9123, -1.419, 1.074001, 0.000000, 0.021983,-0.349841,-0.033177, 0.0000, 0.0000, 0.3235, 8.1544
  -10.7634,   0.9577, -1.320, 1.064584, 0.000000, 0.019401,-0.268996,-0.037078, 0.0000, 0.0000, 0.3276,10.4749
  -10.6906,   1.0030, -1.244, 1.053138, 0.000000, 0.017134,-0.196966,-0.040875, 0.0000, 0.0000, 0.3315,13.1231
  -10.6191,   1.0474, -1.185, 1.039949, 0.000000, 0.015065,-0.133552,-0.044698, 0.0000, 0.0000, 0.3356,16.0707
  -10.5495,   1.0907, -1.144, 1.025036, 0.000000, 0.013124,-0.078342,-0.048644, 0.0000, 0.0000, 0.3398,19.2730
  -10.4826,   1.1322, -1.119, 1.008081, 0.000000, 0.011220,-0.030809,-0.052791, 0.0000, 0.0000, 0.3443,22.6693
  -10.4193,   1.1716, -1.114, 0.988309, 0.000000, 0.009292, 0.009639,-0.057152, 0.0000, 0.0000, 0.3490,26.1850
  -10.3601,   1.2084, -1.127, 0.964203, 0.000000, 0.007083, 0.043607,-0.061697, 0.0000, 0.0000, 0.3540,29.7333
  -10.3057,   1.2422, -1.171, 0.933037, 0.000000, 0.004502, 0.071719,-0.066353, 0.0000, 0.0000, 0.3591,33.2187
  -10.2567,   1.2726, -1.251, 0.889627, 0.000000, 0.000960, 0.094610,-0.070942, 0.0000, 0.0000, 0.3641,36.5413
  -10.2137,   1.2993, -1.377, 0.823669, 0.000000,-0.004595, 0.112926,-0.075172, 0.0000, 0.0000, 0.3687,39.6006
  -10.1772,   1.3221, -1.569, 0.712437, 0.000000,-0.014553, 0.127237,-0.078561, 0.0000, 0.0000, 0.3725,42.3010
  -10.1474,   1.3406, -1.852, 0.497693, 0.000000,-0.035598, 0.137810,-0.080471, 0.0000, 0.0000, 0.3751,44.5561
  -10.1248,   1.3546, -2.264,-0.008140, 0.000000,-0.089959, 0.144777,-0.080178, 0.0000, 0.0000, 0.3759,46.2943
  -10.1096,   1.3641, -2.879,-1.691473, 0.000000,-0.284868, 0.148394,-0.074609, 0.0000, 0.0000, 0.3725,47.4635
  -10.1019,   1.3688, -3.497,-12.622386, 0.000000,-1.613294, 0.125096,-0.037921, 0.0000, 0.0000, 0.3533,48.0387
  -10.0961,   1.3708, -1.599,-5.574581, 0.000000,-1.127319, 0.199706,-0.084844, 0.0000, 0.0000, 0.3376,48.3929
  -10.0805,   1.3740, -1.699,-0.197730, 0.000000,-0.196029, 0.208963,-0.119800, 0.0000, 0.0000, 0.3587,49.2065
  -10.0494,   1.3804, -1.648, 0.634552, 0.000000,-0.054225, 0.214913,-0.125055, 0.0000, 0.0000, 0.3583,50.8202
  -10.0028,   1.3899, -1.584, 0.890832, 0.000000,-0.012589, 0.217887,-0.123534, 0.0000, 0.0000, 0.3544,53.3369
   -9.9408,   1.4026, -1.556, 1.006156, 0.000000, 0.005091, 0.220025,-0.119615, 0.0000, 0.0000, 0.3492,56.9475
   -9.8634,   1.4185, -1.570, 1.072218, 0.000000, 0.014855, 0.221682,-0.115223, 0.0000, 0.0000, 0.3440,61.9262
   -9.7709,   1.4375, -1.601, 1.117071, 0.000000, 0.021130, 0.222791,-0.111216, 0.0000, 0.0000, 0.3392,68.6319
   -9.6632,   1.4595, -1.645, 1.151360, 0.000000, 0.025766, 0.223185,-0.107995, 0.0000, 0.0000, 0.3353,77.5112
   -9.5407,   1.4846, -1.689, 1.179545, 0.000000, 0.029298, 0.222781,-0.105625, 0.0000, 0.0000, 0.3321,89.1019
   -9.4035,   1.5128, -1.724, 1.203615, 0.000000, 0.032000, 0.221544,-0.104029, 0.0000, 0.0000, 0.3298,104.0367
   -9.2517,   1.5439, -1.747, 1.224478, 0.000000, 0.034024, 0.219503,-0.103066, 0.0000, 0.0000, 0.3280,123.0461
   -9.0857,   1.5779, -1.761, 1.242580, 0.000000, 0.035520, 0.216718,-0.102573, 0.0000, 0.0000, 0.3268,146.9608
   -8.9057,   1.6148, -1.766, 1.258154, 0.000000, 0.036595, 0.213281,-0.102392, 0.0000, 0.0000, 0.3259,176.7123
   -8.7119,   1.6545, -1.766, 1.271364, 0.000000, 0.037359, 0.209281,-0.102400, 0.0000, 0.0000, 0.3253,213.3332
   -8.5048,   1.6969, -1.763, 1.282353, 0.000000, 0.037907, 0.204807,-0.102508, 0.0000, 0.0000, 0.3248,257.9557
   -8.2845,   1.7421, -1.760, 1.291265, 0.000000, 0.038330, 0.199941,-0.102656, 0.0000, 0.0000, 0.3245,311.8089
   -8.0514,   1.7899, -1.759, 1.298244, 0.000000, 0.038694, 0.194760,-0.102801, 0.0000, 0.0000, 0.3243,376.2151
   -7.8059,   1.8402, -1.760, 1.303421, 0.000000, 0.039021, 0.189338,-0.102913, 0.0000, 0.0000, 0.3242,452.5846
   -7.5484,   1.8930, -1.766, 1.306948, 0.000000, 0.039374, 0.183731,-0.102984, 0.0000, 0.0000, 0.3241,542.4092
   -7.2792,   1.9481, -1.777, 1.308957, 0.000000, 0.039772, 0.177990,-0.103009, 0.0000, 0.0000, 0.3240,647.2545
   -6.9988,   2.0056, -1.794, 1.309569, 0.000000, 0.040231, 0.172163,-0.102986, 0.0000, 0.0000, 0.3240,768.7510
   -6.7077,   2.0653, -1.816, 1.308893, 0.000000, 0.040758, 0.166290,-0.102914, 0.0000, 0.0000, 0.3241,908.5828
   -6.4061,   2.1271, -1.843, 1.307026, 0.000000, 0.041361, 0.160404,-0.102794, 0.0000, 0.0000, 0.3241,1068.4766
   -6.0947,   2.1909, -1.876, 1.304048, 0.000000, 0.042027, 0.154532,-0.102626, 0.0000, 0.0000, 0.3242,1250.1876
   -5.7739,   2.2566, -1.914, 1.300045, 0.000000, 0.042791, 0.148694,-0.102423, 0.0000, 0.0000, 0.3243,1455.4851
   -5.4442,   2.3242, -1.958, 1.295063, 0.000000, 0.043620, 0.142911,-0.102177, 0.0000, 0.0000, 0.3244,1686.1367
   -5.1062,   2.3935, -2.007, 1.289145, 0.000000, 0.044519, 0.137199,-0.101893, 0.0000, 0.0000, 0.3246,1943.8909
   -4.7602,   2.4644, -2.061, 1.282326, 0.000000, 0.045485, 0.131567,-0.101571, 0.0000, 0.0000, 0.3248,2230.4583
   -4.4069,   2.5368, -2.121, 1.274624, 0.000000, 0.046516, 0.126022,-0.101213, 0.0000, 0.0000, 0.3250,2547.4928
   -4.0468,   2.6106, -2.185, 1.266042, 0.000000, 0.047603, 0.120573,-0.100816, 0.0000, 0.0000, 0.3252,2896.5705
   -3.6804,   2.6857, -2.256, 1.256571, 0.000000, 0.048745, 0.115223,-0.100381, 0.0000, 0.0000, 0.3254,3279.1692
   -3.3084,   2.7619, -2.332, 1.246184, 0.000000, 0.049938, 0.109969,-0.099911, 0.0000, 0.0000, 0.3257,3696.6458
   -2.9313,   2.8392, -2.414, 1.234830, 0.000000, 0.051181, 0.104814,-0.099403, 0.0000, 0.0000, 0.3260,4150.2144
   -2.5497,   2.9174, -2.503, 1.222424, 0.000000, 0.052472, 0.099752,-0.098858, 0.0000, 0.0000, 0.3263,4640.9232
   -2.1641,   2.9965, -2.602, 1.208830, 0.000000, 0.053819, 0.094778,-0.098278, 0.0000, 0.0000, 0.3267,5169.6310
   -1.7752,   3.0762, -2.711, 1.193797, 0.000000, 0.055234, 0.089892,-0.097660, 0.0000, 0.0000, 0.3271,5736.9825
   -1.3836,   3.1564, -2.838, 1.176820, 0.000000, 0.056737, 0.085096,-0.096995, 0.0000, 0.0000, 0.3275,6343.3810
   -0.9898,   3.2371, -2.992, 1.156639, 0.000000, 0.058323, 0.080428,-0.096241, 0.0000, 0.0000, 0.3279,6988.9539
   -0.5945,   3.3182, -3.197, 1.128840, 0.000000, 0.059705, 0.076012,-0.095266, 0.0000, 0.0000, 0.3281,7673.4944
   -0.1983,   3.3994, -3.517, 1.055618, 0.000000, 0.055652, 0.072285,-0.093659, 0.0000, 0.0000, 0.3278,8396.2986
    0.1983,   3.3994, -3.517, 1.055618, 0.000000, 0.055652, 0.072285,-0.093659, 0.0000, 0.0000, 0.3278,8396.2986
    0.5945,   3.3182, -3.197, 1.128840, 0.000000, 0.059705, 0.076012,-0.095266, 0.0000, 0.0000, 0.3281,7673.4944
    0.9898,   3.2371, -2.992, 1.156639, 0.000000, 0.058323, 0.080428,-0.096241, 0.0000, 0.0000, 0.3279,6988.9539
    1.3836,   3.1564, -2.838, 1.176820, 0.000000, 0.056737, 0.085096,-0.096995, 0.0000, 0.0000, 0.3275,6343.3810
    1.7752,   3.0762, -2.711, 1.193797, 0.000000, 0.055234, 0.089892,-0.097660, 0.0000, 0.0000, 0.3271,5736.9825
    2.1641,   2.9965, -2.602, 1.208830, 0.000000, 0.053819, 0.094778,-0.098278, 0.0000, 0.0000, 0.3267,5169.6310
    2.5497,   2.9174, -2.503, 1.222424, 0.000000, 0.052472, 0.099752,-0.098858, 0.0000, 0.0000, 0.3263,4640.9232
    2.9313,   2.8392, -2.414, 1.234830, 0.000000, 0.051181, 0.104814,-0.099403, 0.0000, 0.0000, 0.3260,4150.2144
    3.3084,   2.7619, -2.332, 1.246184, 0.000000, 0.049938, 0.109969,-0.099911, 0.0000, 0.0000, 0.3257,3696.6458
    3.6804,   2.6857, -2.256, 1.256571, 0.000000, 0.048745, 0.115223,-0.100381, 0.0000, 0.0000, 0.3254,3279.1692
    4.0468,   2.6106, -2.185, 1.266042, 0.000000, 0.047603, 0.120573,-0.100816, 0.0000, 0.0000, 0.3252,2896.5705
    4.4069,   2.5368, -2.121, 1.274624, 0.000000, 0.046516, 0.126022,-0.101213, 0.0000, 0.0000, 0.3250,2547.4928
    4.7602,   2.4644, -2.061, 1.282326, 0.000000, 0.045485, 0.131567,-0.101571, 0.0000, 0.0000, 0.3248,2230.4583
    5.1062,   2.3935, -2.007, 1.289145, 0.000000, 0.044519, 0.137199,-0.101893, 0.0000, 0.0000, 0.3246,1943.8909
    5.4442,   2.3242, -1.958, 1.295063, 0.000000, 0.043620, 0.142911,-0.102177, 0.0000, 0.0000, 0.3244,1686.1367
    5.7739,   2.2566, -1.914, 1.300045, 0.000000, 0.042791, 0.148694,-0.102423, 0.0000, 0.0000, 0.3243,1455.4851
    6.0947,   2.1909, -1.876, 1.304048, 0.000000, 0.042027, 0.154532,-0.102626, 0.0000, 0.0000, 0.3242,1250.1876
    6.4061,   2.1271, -1.843, 1.307026, 0.000000, 0.041361, 0.160404,-0.102794, 0.0000, 0.0000, 0.3241,1068.4766
    6.7077,   2.0653, -1.816, 1.308893, 0.000000, 0.040758, 0.166290,-0.102914, 0.0000, 0.0000, 0.3241,908.5828
    6.9988,   2.0056, -1.794, 1.309569, 0.000000, 0.040231, 0.172163,-0.102986, 0.0000, 0.0000, 0.3240,768.7510
    7.2792,   1.9481, -1.777, 1.308957, 0.000000, 0.039772, 0.177990,-0.103009, 0.0000, 0.0000, 0.3240,647.2545
    7.5484,   1.8930, -1.766, 1.306948, 0.000000, 0.039374, 0.183731,-0.102984, 0.0000, 0.0000, 0.3241,542.4092
    7.8059,   1.8402, -1.760, 1.303421, 0.000000, 0.039021, 0.189338,-0.102913, 0.0000, 0.0000, 0.3242,452.5846
    8.0514,   1.7899, -1.759, 1.298244, 0.000000, 0.038694, 0.194760,-0.102801, 0.0000, 0.0000, 0.3243,376.2151
    8.2845,   1.7421, -1.760, 1.291265, 0.000000, 0.038330, 0.199941,-0.102656, 0.0000, 0.0000, 0.3245,311.8089
    8.5048,   1.6969, -1.763, 1.282353, 0.000000, 0.037907, 0.204807,-0.102508, 0.0000, 0.0000, 0.3248,257.9557
    8.7119,   1.6545, -1.766, 1.271364, 0.000000, 0.037359, 0.209281,-0.102400, 0.0000, 0.0000, 0.3253,213.3332
    8.9057,   1.6148, -1.766, 1.258154, 0.000000, 0.036595, 0.213281,-0.102392, 0.0000, 0.0000, 0.3259,176.7123
    9.0857,   1.5779, -1.761, 1.242580, 0.000000, 0.035520, 0.216718,-0.102573, 0.0000, 0.0000, 0.3268,146.9608
    9.2517,   1.5439, -1.747, 1.224478, 0.000000, 0.034024, 0.219503,-0.103066, 0.0000, 0.0000, 0.3280,123.0461
    9.4035,   1.5128, -1.724, 1.203615, 0.000000, 0.032000, 0.221544,-0.104029, 0.0000, 0.0000, 0.3298,104.0367
    9.5407,   1.4846, -1.689, 1.179545, 0.000000, 0.029298, 0.222781,-0.105625, 0.0000, 0.0000, 0.3321,89.1019
    9.6632,   1.4595, -1.645, 1.151360, 0.000000, 0.025766, 0.223185,-0.107995, 0.0000, 0.0000, 0.3353,77.5112
    9.7709,   1.4375, -1.601, 1.117071, 0.000000, 0.021130, 0.222791,-0.111216, 0.0000, 0.0000, 0.3392,68.6319
    9.8634,   1.4185, -1.570, 1.072218, 0.000000, 0.014855, 0.221682,-0.115223, 0.0000, 0.0000, 0.3440,61.9262
    9.9408,   1.4026, -1.556, 1.006156, 0.000000, 0.005091, 0.220025,-0.119615, 0.0000, 0.0000, 0.3492,56.9475
   10.0028,   1.3899, -1.584, 0.890832, 0.000000,-0.012589, 0.217887,-0.123534, 0.0000, 0.0000, 0.3544,53.3369
   10.0494,   1.3804, -1.648, 0.634552, 0.000000,-0.054225, 0.214913,-0.125055, 0.0000, 0.0000, 0.3583,50.8202
   10.0805,   1.3740, -1.699,-0.197730, 0.000000,-0.196029, 0.208963,-0.119800, 0.0000, 0.0000, 0.3587,49.2065
   10.0961,   1.3708, -1.599,-5.574581, 0.000000,-1.127319, 0.199706,-0.084844, 0.0000, 0.0000, 0.3376,48.3929
   10.1019,   1.3688, -3.497,-12.622386, 0.000000,-1.613294, 0.125096,-0.037921, 0.0000, 0.0000, 0.3533,48.0387
   10.1096,   1.3641, -2.879,-1.691473, 0.000000,-0.284868, 0.148394,-0.074609, 0.0000, 0.0000, 0.3725,47.4635
   10.1248,   1.3546, -2.264,-0.008140, 0.000000,-0.089959, 0.144777,-0.080178, 0.0000, 0.0000, 0.3759,46.2943
   10.1474,   1.3406, -1.852, 0.497693, 0.000000,-0.035598, 0.137810,-0.080471, 0.0000, 0.0000, 0.3751,44.5561
   10.1772,   1.3221, -1.569, 0.712437, 0.000000,-0.014553, 0.127237,-0.078561, 0.0000, 0.0000, 0.3725,42.3010
   10.2137,   1.2993, -1.377, 0.823669, 0.000000,-0.004595, 0.112926,-0.075172, 0.0000, 0.0000, 0.3687,39.6006
   10.2567,   1.2726, -1.251, 0.889627, 0.000000, 0.000960, 0.094610,-0.070942, 0.0000, 0.0000, 0.3641,36.5413
   10.3057,   1.2422, -1.171, 0.933037, 0.000000, 0.004502, 0.071719,-0.066353, 0.0000, 0.0000, 0.3591,33.2187
